Student,ID,SIS User ID,SIS Login ID,Section,Ready for R Prelab (314531),Histograms and Boxplots Prelab (314512),Mean versus Median Prelab (314527),Simulating Confidence Intervals Prelab (314532),Testing about Proportions Prelab (314530),Time Plots and QQ Plots Prelab (314545),CLT Prelab (314509),One Mean Prelab (314528),Paired Mean Prelab (314529),Comparing Two Means Prelab (314510),ANOVA Prelab (314496),Linear Regression Prelab (314526),Creative Reflection Prelab (314511),Attendance Lab 00: Sept 11-14 (314497),Attendance Lab 01: Sept 18-21 (314498),Attendance Lab 02: Sept 25-28 (314499),Attendance Lab 03: Oct 2-5 (314500),Attendance Lab 04: Oct 9-12 (314501),Attendance Lab 05: Oct 23-26 (314502),Attendance Lab 06: Oct 30-Nov 2 (314503),Attendance Lab 07: Nov 6-9 (314504),Attendance Lab 08: Nov 13-16 (314505),Attendance Lab 09: Nov 20-22 (314506),Attendance Lab 10: Nov 27-30 (314507),Attendance Lab 11: Dec 4-7 (314508),Ticket Lab 00: Sept 11-14 (314533),Ticket Lab 01: Sept 18-21 (314534),Ticket Lab 02: Sept 25-28 (314535),Ticket Lab 03: Oct 2-5 (314536),Ticket Lab 04: Oct 9-12 (314537),Ticket Lab 05: Oct 23-26 (314538),Ticket Lab 06: Oct 30-Nov 2 (314539),Ticket Lab 07: Nov 6-9 (314540),Ticket Lab 08: Nov 13-16 (314541),Ticket Lab 09: Nov 20-22 (314542),Ticket Lab 10: Nov 27-30 (314543),Ticket Lab 11: Dec 4-7 (314544),iclicker00 (314513),iclicker01 (314514),iclicker02 (314515),iclicker03 (314516),iclicker04 (314517),iclicker05 (314518),iclicker06 (314519),iclicker07 (314520),iclicker08 (314521),iclicker09 (314522),iclicker10 (314523),iclicker11 (314524),LecParticSept11-15 (379065),LecParticSept18-22 (379220),LecParticSept25-29 (379226),LecParticOct02-06 (387288),LecParticOct09-13 (387289),LecParticOct23-27 (387379),LecParticOct30-Nov03 (387382),LecParticNov06-10 (387383),LecParticNov13-17 (387387),"HW 1 Data, Sampling (314550)",HW 2 Plots Prob RV (314551),HW 3 About p (314552),HW 4 About p1-p2 (314553),HW 5 About one mean (314554),HW 6 About paired (314555),HW 7 About Two Means (314556),HW 8 ANOVA (314557),HW 9 Regression (314558),HW 10 Chi Square (314549),Exam 1 (314546),Exam 2 (314547),Final Exam (314548),Write To Learn #1 Pizza Study Design Initial Submission (341415),Write To Learn #1 Pizza Study Peer Review (395554),Write To Learn #1 Pizza Study Revision (341435),Write To Learn #2 Chocolate and Cycling Initial Submission (343539),Write To Learn #2 Chocolate and Cycling Peer Review (395644),Write To Learn #2 Chocolate and Cycling Revision (343733),EC ECoachWriting (355899),EC MWriteStartSurvey (355863),EC ECoachEx1Plan (355803),EC ECoachEx2Plan (355859),EC ECoachEndSurvey (355776),EC MWriteEndSurvey (355864),Practice Homework (355757),Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Dummy11,Dummy12,Dummy13,Dummy14,Dummy15,Dummy16,Dummy17,Dummy18,Dummy19,Dummy20,Dummy21,Dummy22,Dummy23,Dummy24,Dummy25,Dummy26,Dummy27,Dummy28,Dummy29,Dummy30,Prelab Assignments Current Score,Prelab Assignments Final Score,M-Write WTL Assignments Current Score,M-Write WTL Assignments Final Score,Homework Current Score,Homework Final Score,Exams Current Score,Exams Final Score,Lab Tickets Current Score,Lab Tickets Final Score,Lab Attendance Current Score,Lab Attendance Final Score,Lab iClicker Current Score,Lab iClicker Final Score,Lab Resources Current Score,Lab Resources Final Score,Lecture Participation Current Score,Lecture Participation Final Score,Other Current Score,Other Final Score,Current Score,Final Score
"STUDENT, A12",120883,220883,aaabbb,STATS 250 Section 000,2,1,2,2,1.5,2,2,1.5,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,,,31,31.5,33,28.5,30,34,,,,,49,60.5,,3,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,100,50,91.14,59.68,73,43.8,100,66.67,100,66.67,100,75,,,0,0,88.89,72.73,77.29,47.07
"STUDENT, A13",400422,500422,aaabbb,STATS 250 Section 000,2,1.5,2,2,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0,0.5,,,32,31.5,33,30,30,34.5,,,,,58,63.5,,2,3,4,,,,2,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,90,45,92,60.63,81,48.6,100,66.67,100,66.67,100,75,,,85.71,66.67,100,81.82,83.54,50.92
"STUDENT, A14",183228,283228,aaabbb,STATS 250 Section 000,2,1.5,2,2,1.5,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,0,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,,,29,0,26.5,26.5,26,33.5,,,,,50,61.5,,3,3,4,,,,2,2,2,,,,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,100,50,80.86,44.92,74.33,44.6,100,66.67,100,66.67,88.89,66.67,,,0,0,75,54.55,77.16,46.11
"STUDENT, A15",751080,851080,aaabbb,STATS 250 Section 000,2,1.5,2,0,0,2,2,2,1.5,,,,,1,1,1,0,1,1,1,1,,,,,2,2,2,0,2,2,2,2,,,,,2,2,2,0,2,2,2,2,2,,,,0.5,0.5,0,0,0.5,0,0.5,,,25,20,33,24.5,24.5,27,,,,,,58,,3,3,3,,,,,2,,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.22,50,90,45,76.57,48.89,77.33,23.2,87.5,58.33,87.5,58.33,88.89,66.67,,,57.14,44.44,85.71,54.55,78.1,28.75
"STUDENT, A16",740687,840687,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0,,,30.33,35,35,32,35,30.25,,,,,72,66,,2,3,4,,,,2,2,2,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,90,45,95.62,62.72,92,55.2,100,66.67,100,66.67,100,75,,,85.71,66.67,83.33,68.18,92.71,56.41
"STUDENT, A17",111522,211522,aaabbb,STATS 250 Section 000,2,1.5,2,1.5,1.5,2,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,34.33,34.5,34,28,33,33,,,,,66,55,,2,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,90,45,96.47,62.49,80.67,48.4,100,66.67,100,66.67,100,75,,,100,77.78,88.89,72.73,83.56,50.83
"STUDENT, A18",428838,528838,aaabbb,STATS 250 Section 000,2,2,2,1.5,2,2,2,1.5,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0,0,0,0,0,0,0,,,29,23.5,22.5,25.5,25,29,,,,,52,51.5,,2,3,4,,,,,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.67,63.46,90,45,75.43,49.05,69,41.4,100,66.67,100,66.67,100,75,,,0,0,87.5,63.64,72.18,43.93
"STUDENT, A19",819257,919257,aaabbb,STATS 250 Section 000,2,1,2,0,0,0,0,0,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,0,,,,0,0,0,0.5,0,0.5,0.5,,,0,,18,19,23.5,23.5,,,,,50,42,,3,0,4,,,,,1,,,,,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.89,26.92,70,35,60,26.67,61.33,36.8,100,66.67,100,66.67,88.89,66.67,,,42.86,33.33,58.33,31.82,62.42,36.71
"STUDENT, A20",649682,749682,aaabbb,STATS 250 Section 000,2,1.5,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,31.33,33,33,28,29.5,30.5,,,,,60,68.5,,3,3,4,,,,,2,,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.44,65.38,100,50,89.9,58.83,85.67,51.4,100,66.67,100,66.67,100,75,,,100,77.78,85.71,54.55,87.41,53.14
"STUDENT, A21",607363,707363,aaabbb,STATS 250 Section 000,2,2,2,1.5,1.5,1.5,2,1.5,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,33,33,32,29,35,31.5,,,,,55.5,53,,2,3,0,,,,,2,,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.11,59.62,50,25,94,61.43,72.33,43.4,100,66.67,100,66.67,100,75,,,100,77.78,100,63.64,74.99,45.89
"STUDENT, A22",929807,1029807,aaabbb,STATS 250 Section 000,2,2,1.5,1.5,2,1.5,2,2,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0,0.5,0.5,0,0,,,27.33,30,30.5,23.5,28,31,,,,,64,64,,2,0,1,,,,2,2,,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,30,15,83.9,54.07,85.33,51.2,100,66.67,100,66.67,100,75,,,57.14,44.44,100,72.73,83.63,51.03
"STUDENT, A23",381547,481547,aaabbb,STATS 250 Section 000,2,2,1.5,1.5,2,2,2,1.5,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,31,33.5,30,29,31,32.5,,,,,53,50,,3,3,4,,,,2,2,2,2,,,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,100,50,90.29,59.37,68.67,41.2,100,66.67,100,66.67,100,75,,,100,77.78,83.33,68.18,73.74,44.96
"STUDENT, A24",405344,505344,aaabbb,STATS 250 Section 000,2,2,2,1.5,1,1.5,0,1,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0,0,,,,30.5,19,16,26,29.5,,,,,49.5,52,,0,0,0,,,,2,,,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.22,50,0,0,75,38.41,67.67,40.6,100,66.67,100,66.67,100,75,,,71.43,55.56,85.71,54.55,67.08,40.15
"STUDENT, A25",489920,589920,aaabbb,STATS 250 Section 000,2,2,1.5,2,2,2,0,1.5,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,27.33,34.5,30.5,30,32,33,,,,,62,56,,3,3,4,,,,2,2,2,2,,,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.33,57.69,100,50,91.43,59.47,78.67,47.2,100,66.67,100,66.67,100,75,,,100,77.78,100,81.82,81.74,49.69
"STUDENT, A26",727366,827366,aaabbb,STATS 250 Section 000,2,2,2,2,2,2,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0,0,,,34,35,32.5,29,34,32.5,,,,,66,59.5,,3,3,3,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,69.23,90,45,96,62.54,83.67,50.2,100,66.67,100,66.67,100,75,,,71.43,55.56,88.89,72.73,86.13,52.43
"STUDENT, A27",535587,635587,aaabbb,STATS 250 Section 000,2,2,2,2,2,1.5,2,2,2,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,31.33,34,30.5,32,34,34.5,,,,,62.5,68,,3,3,4,,,,2,2,,2,,,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.22,67.31,100,50,94.76,62.33,87,52.2,100,66.67,100,66.67,100,75,,,100,77.78,68.75,50,89.02,54.17
"STUDENT, A28",728916,828916,aaabbb,STATS 250 Section 000,2,2,1.5,2,1.5,2,2,1.5,1.5,,,,,1,1,1,1,1,1,1,1,,,,,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,34,28.5,31.5,30,27,30,,,,,56,56.5,,0,3,4,,,,2,2,2,2,,,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.89,61.54,70,35,88,57.46,75,45,100,66.67,100,66.67,100,75,,,100,77.78,88.89,72.73,77.38,47.21
